gene,A1_NT_1,A2_NT_2,A3_NT_3,B1_TNFA_1,B2_TNFA_2,B3_TNFA_3,C1_IBX001_1,C2_IBX001_2,C3_IBX001_3,D1_IBX002_1,D2_IBX002_2,D3_IBX002_3,E1_IBX003_1,E2_IBX003_2,E3_IBX003_3,F1_IBX004_1,F2_IBX004_2,F3_IBX004_3,G1_IBX005_1,G1_IBX008_1,G2_IBX005_2,G2_IBX008_2,G3_IBX005_3,G3_IBX008_3,H1_IBX006_1,H2_IBX006_2,H3_IBX006_3,K1_IBX009_1,K2_IBX009_2,K3_IBX009_3,L1_IBX0010_1,L2_IBX0010_2,L3_IBX0010_3,M1_IBX0011_1,M2_IBX0011_2,M3_IBX0011_3,N1_IBX0012_1,N2_IBX0012_2,N3_IBX0012_3,O1_IBX0013_1,O2_IBX0013_2,O3_IBX0013_3,P1_IBX0014_dose1_1,P2_IBX0014_dose1_2,P3_IBX0014_dose1_3,Q1_IBX0014_dose2_1,Q2_IBX0014_dose2_2,Q3_IBX0014_dose2_3,R1_IBX0015_1,R2_IBX0015_2,R3_IBX0015_3,S1_IBX0016_1,S2_IBX0016_2,S3_IBX0016_3,T1_IBX0017_1,T2_IBX0017_2,T3_IBX0017_3
Actb,5783,21324,14564,14804,13126,16284,18317,8037,18105,12422,18969,7589,12937,7780,12144,7121,3947,4446,1550,12294,9712,19812,11928,18074,7496,15853,15308,10474,16720,16311,9755,13081,13131,17721,8898,18570,4485,8968,8610,10989,1726,13043,6830,7691,2434,12257,9954,13150,8075,12174,12418,16185,8945,13034,13284,8359,2935
Apaf1,297,770,611,1079,864,1010,1447,393,932,1214,1435,422,844,576,610,437,180,259,88,1184,688,1382,731,1053,484,772,591,1229,1041,907,707,747,693,1070,418,935,162,326,278,662,65,701,376,366,92,584,431,425,628,826,616,954,512,722,807,448,114
Atf3,3747,13548,11179,15144,13928,15333,13200,5750,13043,6023,8657,4594,7661,6598,7874,6098,2686,3496,1101,11292,7423,13681,9761,13332,8141,15530,15125,10733,11789,12796,10590,15867,13752,14689,9282,13624,3678,10619,8028,11625,1100,12828,7302,10126,2196,17364,16612,18984,8350,12110,10278,15061,9153,13730,13565,8520,2615
Atrnl1,0,3,2,3,4,6,7,1,6,4,7,5,2,1,6,1,0,1,0,3,4,6,10,7,0,1,8,4,11,9,2,4,2,10,3,5,0,1,0,0,0,4,1,3,0,0,3,2,1,2,2,1,2,2,0,0,1
Bhlhe40,1272,3240,3240,5075,4869,4851,5362,2615,5263,1415,2106,1235,2313,2291,2403,2531,867,1236,404,3587,3252,3915,3805,4172,3302,5589,4817,2357,2803,2977,4176,4971,4222,2701,1676,2341,1528,3136,2410,4326,338,3406,3826,3808,1056,5965,5172,5533,4387,5719,4792,6250,4000,4667,4958,3529,1085
CD68,3666,19988,13191,16628,14518,18225,18155,6358,19423,10528,16350,6844,13050,8205,12830,6864,2536,3220,1073,13938,9305,17711,14496,18397,8795,18144,20495,13512,16634,18123,10909,17494,16200,18248,13073,22628,4185,13017,9742,13802,1061,17243,7592,9113,2498,14645,12297,16007,9254,16587,14604,18750,11168,16519,14436,9190,2879
Ch25h,9,51,68,248,232,276,80,37,54,47,77,18,24,22,23,53,18,14,1,212,16,261,26,161,3,9,8,17,20,32,5,10,8,55,10,29,7,12,10,148,15,184,13,21,4,40,26,29,29,45,27,45,23,14,13,7,3
Chac1,337,1504,1258,1090,921,1079,1253,659,1537,414,701,331,1388,1377,1445,201,167,183,72,515,125,596,244,844,515,995,901,287,479,495,1473,2092,1992,704,495,805,347,875,757,1624,213,1919,1365,1233,722,3054,2389,2992,1336,1593,1594,2683,1632,2226,1823,1232,1051
Chd7,1,9,7,10,16,4,9,3,10,6,7,5,11,7,13,6,0,2,0,13,5,11,12,19,1,17,20,18,7,11,6,21,6,11,3,10,3,10,3,12,0,11,6,11,2,21,14,24,5,11,16,15,4,11,12,3,2
Chn2,432,1284,1041,1011,814,1047,567,300,786,303,483,326,431,393,481,445,188,224,56,489,225,609,251,610,763,1384,1234,254,314,318,739,973,952,1407,868,1259,667,1243,847,644,60,677,765,735,386,1602,1109,1570,815,847,782,1120,577,1017,915,624,327
